date,WILLREITIND,S5UTIL,S5CONS,S5COND,Gold_Price
2000-01-03,1380.49,138.75,204.23,291.3933,290.25
2000-01-04,1368.54,138.91,201.13,282.7505,281.5
2000-01-05,1372.1,144.08,201.84,280.0653,280.45
2000-01-06,1397.23,146.09,204.38,281.2764,279.4
2000-01-07,1428.04,148.39,212.88,290.4922,282.1
2000-01-10,1444.62,147.42,210.59,302.3327,281.6
2000-01-11,1438.83,146.77,212.76,298.2206,282.25
2000-01-12,1433.85,149.5,213.43,294.1038,282.25
2000-01-13,1432.59,150.38,212.24,298.1132,282.1
2000-01-14,1428.98,151.68,211.1,296.9036,283.3
2000-01-18,1433.25,149,211.75,295.6334,285.8
2000-01-19,1439.87,149.5,210.61,298.1995,287.65
2000-01-20,1437.69,154.78,207.46,293.7826,288.1
2000-01-21,1436.98,158.99,203.87,291.5108,287.75
2000-01-24,1425.08,156.81,200.8,281.7176,287.2
2000-01-25,1420.92,153.01,197.84,283.6643,288
2000-01-26,1421.9,154.33,197.79,285.3907,285.9
2000-01-27,1418.16,154.24,196.56,284.37,285.55
2000-01-28,1412.66,152.07,191.98,273.0436,286.75
2000-01-31,1403.58,157.63,193.87,274.2822,283.3
2000-02-01,1411.35,156.12,193.78,281.3091,283
2000-02-02,1411.83,154.88,192.27,283.0434,285.6
2000-02-03,1418.3,157.3,191.65,285.9377,285.05
2000-02-04,1412.87,153.37,189,285.459,293.65
2000-02-07,1411.13,153.52,187.99,280.4425,312.7
2000-02-08,1413.73,156.11,189.9,286.4669,296.25
2000-02-09,1413.77,155.35,188.35,280.1979,308.6
2000-02-10,1410.49,154.71,186.51,280.1746,309
2000-02-11,1396.85,153.41,184.51,276.8708,311.5
2000-02-14,1386.27,154.83,182.34,277.348,308.35
2000-02-15,1387.79,155.47,186.28,273.7417,304.25
2000-02-16,1382.03,155.57,183.81,264.6194,302.5
2000-02-17,1390.54,154.9,183.02,257.4597,304.75
2000-02-18,1378.54,152.39,180.08,253.0286,303.55
2000-02-22,1374.75,150.43,182.9,252.5329,302.25
2000-02-23,1375.09,148.33,179.81,253.6433,302
2000-02-24,1371.39,145.04,174.93,247.3667,298.75
2000-02-25,1369.72,142.42,171.24,246.0499,294
2000-02-28,1366.05,146.08,175,252.2398,292.5
2000-02-29,1381.8,147.16,174.01,258.2773,293.65
2000-03-01,1374.89,146.57,175.51,257.4824,292.9
2000-03-02,1373.01,147.51,171.6,256.6491,289.9
2000-03-03,1378.51,148.49,173.2,261.3059,288.5
2000-03-06,1379.22,143.95,170.1,255.6083,288.8
2000-03-07,1365.41,144.09,155,247.9426,289.75
2000-03-08,1367.69,142.19,156.74,249.6304,291.2
2000-03-09,1369.92,141.65,156.67,255.737,290.5
2000-03-10,1367.71,142.71,151.15,251.8835,290.25
2000-03-13,1364.49,141.39,153.08,250.9834,290.65
2000-03-14,1366.56,139.89,150.55,249.0515,288.75
2000-03-15,1382.86,145.58,162.42,260.7941,289.15
2000-03-16,1405.79,151.5,171.46,276.3336,287.35
2000-03-17,1409.47,148.69,167.74,277.3253,283.9
2000-03-20,1410.94,147.9,167.52,278.3906,285.75
2000-03-21,1414.76,148.46,169.48,282.4656,285.15
2000-03-22,1422.26,147.16,165.97,283.0843,287.8
2000-03-23,1424.52,148.3,167.01,284.0354,284.75
2000-03-24,1418.65,147.81,166.51,285.391,284.85
2000-03-27,1417.32,150.34,162.45,285.2568,284.15
2000-03-28,1416.36,147.05,163.39,284.0947,280.65
2000-03-29,1424.53,150.76,167.27,288.8304,279.75
2000-03-30,1429.87,150.37,173.46,288.929,275.75
2000-03-31,1436.58,151.48,171.55,287.6298,276.75
2000-04-03,1436.73,151.64,178.76,295.7481,277.5
2000-04-04,1438.9,150.05,183.23,289.8259,276.85
2000-04-05,1446.4,151,179.06,287.8118,281.3
2000-04-06,1462.88,150.1,177.26,293.7775,279.35
2000-04-07,1475.38,150.8,176.98,295.273,280.15
2000-04-10,1486.15,153.62,177.37,298.0021,282.25
2000-04-11,1493.58,153.41,181.69,299.253,282.5
2000-04-12,1503.95,156.3,186.42,296.1853,280.4
2000-04-13,1509.5,160.34,184.54,286.4768,281.4
2000-04-14,1501.14,154.84,175.71,270.0288,282
2000-04-17,1495.46,154.82,181.28,270.3916,281.75
2000-04-18,1503.28,155.39,177.96,276.3482,281.1
2000-04-19,1505.34,156.82,178.55,279.2148,281.35
2000-04-20,1507.12,159.29,181.71,282.6891,279.85
2000-04-24,1509.58,161.85,185.31,283.4695,279.85
2000-04-25,1518.41,166.29,185.16,288.6934,279.5
2000-04-26,1529.61,168.68,181.31,289.5507,276.2
2000-04-27,1533.33,165.43,178.95,285.1747,276
2000-04-28,1538.42,162.91,175.73,281.927,275.05
2000-05-01,1565.59,163.97,175.81,286.6254,275.05
2000-05-02,1584.63,163.24,176.64,283.5259,275.45
2000-05-03,1580.49,162.12,178.6,271.6267,275.6
2000-05-04,1579.18,164.18,178.83,268.0642,280
