date,US_unemployment_rate,PPI_Petroleun_and_Coal,PPI_Lumber_Wood,PPI_rubber_plastic,PPI_Transportation_Equipment,PPI_Machinery_Equipment,,
2000-01-01,4,94,189.1,116.2,159.8,148.2,,
2000-02-01,4.1,104.1,189.2,116.2,159.8,148.3,,
2000-03-01,4,111,188.5,114.3,159.8,148.3,,
2000-04-01,3.8,105.6,186.3,116.2,161.4,148.6,,
2000-05-01,4,109,180.3,117.9,161.4,148.5,,
2000-06-01,4,119.9,179.6,117.6,161.9,148.6,,
2000-07-01,4,115.7,176.1,118.4,162.0,148.7,,
2000-08-01,4.1,112.6,173.2,122.2,162.1,148.8,,
2000-09-01,3.9,125.1,171.4,122.6,162.4,148.9,,
2000-10-01,3.9,121.8,171.6,121.3,163.0,148.9,,
2000-11-01,3.9,121.9,170.4,122.6,163.0,148.9,,
2000-12-01,3.9,112.9,169.6,123.4,163.1,148.9,,
2001-01-01,4.2,112.7,166.6,122.5,163.4,149.0,,
2001-02-01,4.2,111.7,168.2,123.7,163.7,148.9,,
2001-03-01,4.3,106.6,169.5,124.3,163.9,149.0,,
2001-04-01,4.4,115.2,170.0,124.2,164.1,149.1,,
2001-05-01,4.3,122.8,181.1,125.2,164.1,149.1,,
2001-06-01,4.5,115.9,183.2,124.3,164.6,149.1,,
2001-07-01,4.6,101.7,175.4,124.7,164.6,149.1,,
2001-08-01,4.9,104.7,174.5,123.2,164.7,149.1,,
2001-09-01,5,114.9,173.1,122.5,164.8,149.1,,
2001-10-01,5.3,94.6,167.3,120.0,164.9,149.3,,
2001-11-01,5.5,86.3,166.1,120.1,165.4,149.3,,
2001-12-01,5.7,75.9,164.1,119.7,165.7,148.8,,
2002-01-01,5.7,77.7,168.3,118.7,165.9,149.1,,
2002-02-01,5.7,79.5,171.3,117.8,166.3,149.2,,
2002-03-01,5.7,89.2,174.8,117.1,166.4,151.2,,
2002-04-01,5.9,100.5,174.7,116.5,166.3,151.4,,
2002-05-01,5.8,99.7,173.0,117.5,166.6,151.3,,
2002-06-01,5.8,98.9,169.8,117.9,166.6,151.3,,
2002-07-01,5.8,101.1,170.2,118.2,167.3,151.4,,
2002-08-01,5.7,103.2,171.4,119.2,167.9,151.4,,
2002-09-01,5.7,109.6,169.9,121.4,168.1,151.5,,
2002-10-01,5.7,117.5,168.1,122.2,168.1,151.5,,
2002-11-01,5.9,106.7,167.6,123.4,167.9,151.7,,
2002-12-01,6,102.4,167.7,121.5,168.0,151.7,,
2003-01-01,5.8,116.5,168.1,123.8,168.4,152.6,,
2003-02-01,5.9,138,170.5,123.0,168.5,152.8,,
2003-03-01,5.9,145.9,169.0,125.1,168.5,152.8,,
2003-04-01,6,118.7,169.3,127.5,168.7,153.3,,
2003-05-01,6.1,111,169.4,128.0,168.7,153.4,,
2003-06-01,6.3,116,171.0,126.2,168.6,153.5,,
2003-07-01,6.2,118.3,175.3,125.9,168.7,153.3,,
2003-08-01,6.1,124,176.0,125.5,168.5,153.4,,
2003-09-01,6.1,122.1,183.3,125.6,169.7,153.4,,
2003-10-01,6,120.9,179.4,125.7,169.8,153.4,,
2003-11-01,5.8,115.5,180.2,125.7,170.1,153.5,,
2003-12-01,5.7,117.5,180.8,125.9,170.0,153.6,,
2004-01-01,5.7,131.5,183.7,126.8,170.4,155.0,,
2004-02-01,5.6,130.7,190.7,127.4,171.5,155.5,,
2004-03-01,5.8,134.3,199.7,127.9,173.0,155.7,,
2004-04-01,5.6,141.9,206.6,127.9,175.2,156.7,,
2004-05-01,5.6,152,214.2,129.7,176.4,156.7,,
