Period,30 Year Mortgage Rate (Percent)
12/31/1999,8.06
1/7/2000,8.15
1/14/2000,8.18
1/21/2000,8.26
1/28/2000,8.25
2/4/2000,8.25
2/11/2000,8.36
2/18/2000,8.38
2/25/2000,8.31
3/3/2000,8.27
3/10/2000,8.23
3/17/2000,8.24
3/24/2000,8.23
3/31/2000,8.23
4/7/2000,8.2
4/14/2000,8.12
4/21/2000,8.16
4/28/2000,8.13
5/5/2000,8.28
5/12/2000,8.52
5/19/2000,8.64
5/26/2000,8.62
6/2/2000,8.54
6/9/2000,8.32
6/16/2000,8.22
6/23/2000,8.14
6/30/2000,8.22
7/7/2000,8.16
7/14/2000,8.09
7/21/2000,8.21
7/28/2000,8.13
8/4/2000,8.12
8/11/2000,8.04
8/18/2000,7.96
8/25/2000,7.99
9/1/2000,7.96
9/8/2000,7.94
9/15/2000,7.88
9/22/2000,7.9
9/29/2000,7.88
10/6/2000,7.83
10/13/2000,7.84
10/20/2000,7.83
10/27/2000,7.68
11/3/2000,7.73
11/10/2000,7.79
11/17/2000,7.73
11/24/2000,7.73
12/1/2000,7.65
12/8/2000,7.54
12/15/2000,7.42
12/22/2000,7.17
12/29/2000,7.13
1/5/2001,7.07
1/12/2001,6.89
1/19/2001,7.02
1/26/2001,7.15
2/2/2001,7.09
2/9/2001,6.98
2/16/2001,7.01
2/23/2001,7.12
3/2/2001,7.03
3/9/2001,6.97
3/16/2001,6.96
3/23/2001,6.89
3/30/2001,6.91
4/6/2001,7.01
4/13/2001,7.04
4/20/2001,7.14
4/27/2001,7.12
5/4/2001,7.14
5/11/2001,7.1
5/18/2001,7.14
5/25/2001,7.2
6/1/2001,7.24
6/8/2001,7.2
6/15/2001,7.14
6/22/2001,7.11
6/29/2001,7.11
7/6/2001,7.19
7/13/2001,7.21
7/20/2001,7.08
7/27/2001,7.03
8/3/2001,7
8/10/2001,7
8/17/2001,6.92
8/24/2001,6.91
8/31/2001,6.92
9/7/2001,6.89
9/14/2001,6.86
9/21/2001,6.8
9/28/2001,6.72
10/5/2001,6.64
10/12/2001,6.58
10/19/2001,6.61
10/26/2001,6.64
11/2/2001,6.56
11/9/2001,6.45
11/16/2001,6.51
11/23/2001,6.75
11/30/2001,7.02
12/7/2001,6.84
12/14/2001,7.09
12/21/2001,7.17
12/28/2001,7.16
1/4/2002,7.14
1/11/2002,7.06
1/18/2002,6.83
1/25/2002,6.96
2/1/2002,7.02
2/8/2002,6.88
2/15/2002,6.86
2/22/2002,6.81
3/1/2002,6.8
3/8/2002,6.87
3/15/2002,7.08
3/22/2002,7.14
3/29/2002,7.18
4/5/2002,7.13
4/12/2002,6.99
4/19/2002,6.94
4/26/2002,6.88
5/3/2002,6.78
5/10/2002,6.79
5/17/2002,6.89
5/24/2002,6.81
5/31/2002,6.76
6/7/2002,6.71
6/14/2002,6.71
6/21/2002,6.63
6/28/2002,6.55
7/5/2002,6.57
7/12/2002,6.54
7/19/2002,6.49
7/26/2002,6.34
8/2/2002,6.43
8/9/2002,6.31
8/16/2002,6.22
8/23/2002,6.27
8/30/2002,6.22
9/6/2002,6.15
9/13/2002,6.18
9/20/2002,6.05
9/27/2002,5.99
10/4/2002,6.01
10/11/2002,5.98
10/18/2002,6.15
10/25/2002,6.31
11/1/2002,6.13
11/8/2002,6.11
11/15/2002,5.94
11/22/2002,6.03
11/29/2002,6.13
12/6/2002,6.19
12/13/2002,6.04
12/20/2002,6.03
12/27/2002,5.93
1/3/2003,5.85
1/10/2003,5.95
1/17/2003,5.97
1/24/2003,5.91
1/31/2003,5.9
2/7/2003,5.88
2/14/2003,5.86
2/21/2003,5.84
2/28/2003,5.79
3/7/2003,5.67
3/14/2003,5.61
3/21/2003,5.79
3/28/2003,5.91
4/4/2003,5.79
4/11/2003,5.85
4/18/2003,5.82
4/25/2003,5.79
5/2/2003,5.7
5/9/2003,5.62
5/16/2003,5.45
5/23/2003,5.34
5/30/2003,5.31
6/6/2003,5.26
6/13/2003,5.21
6/20/2003,5.21
6/27/2003,5.24
7/4/2003,5.4
7/11/2003,5.52
7/18/2003,5.67
7/25/2003,5.94
8/1/2003,6.14
8/8/2003,6.34
8/15/2003,6.24
8/22/2003,6.28
8/29/2003,6.32
9/5/2003,6.44
9/12/2003,6.16
9/19/2003,6.01
9/26/2003,5.98
10/3/2003,5.77
10/10/2003,5.95
10/17/2003,6.05
10/24/2003,6.05
10/31/2003,5.94
11/7/2003,5.98
11/14/2003,6.03
11/21/2003,5.83
11/28/2003,5.89
12/5/2003,6.02
12/12/2003,5.88
12/19/2003,5.82
12/26/2003,5.81
12/31/2003,5.85
1/8/2004,5.87
1/15/2004,5.66
1/22/2004,5.64
1/29/2004,5.68
2/5/2004,5.72
2/12/2004,5.66
2/19/2004,5.58
2/26/2004,5.58
3/4/2004,5.59
3/11/2004,5.41
3/18/2004,5.38
3/25/2004,5.4
4/1/2004,5.52
4/8/2004,5.79
4/15/2004,5.89
4/22/2004,5.94
4/29/2004,6.01
5/6/2004,6.12
5/13/2004,6.34
5/20/2004,6.3
5/27/2004,6.32
6/3/2004,6.28
6/10/2004,6.3
6/17/2004,6.32
6/24/2004,6.25
7/1/2004,6.21
7/8/2004,6.01
7/15/2004,6
7/22/2004,5.98
7/29/2004,6.08
8/5/2004,5.99
8/12/2004,5.85
8/19/2004,5.81
8/26/2004,5.82
9/2/2004,5.77
9/9/2004,5.83
9/16/2004,5.75
9/23/2004,5.7
9/30/2004,5.72
10/7/2004,5.82
10/14/2004,5.74
10/21/2004,5.69
10/28/2004,5.64
11/4/2004,5.7
11/11/2004,5.76
11/18/2004,5.74
11/24/2004,5.72
12/2/2004,5.81
12/9/2004,5.71
12/16/2004,5.68
12/22/2004,5.75
12/29/2004,5.81
1/6/2005,5.77
1/13/2005,5.74
1/20/2005,5.67
1/27/2005,5.66
2/3/2005,5.63
2/10/2005,5.57
2/17/2005,5.62
2/24/2005,5.69
3/3/2005,5.79
3/10/2005,5.85
3/17/2005,5.95
3/24/2005,6.01
3/31/2005,6.04
4/7/2005,5.93
4/14/2005,5.91
4/21/2005,5.8
4/28/2005,5.78
5/5/2005,5.75
5/12/2005,5.77
5/19/2005,5.71
5/26/2005,5.65
6/2/2005,5.62
6/9/2005,5.56
6/16/2005,5.63
6/23/2005,5.57
6/30/2005,5.53
7/7/2005,5.62
7/14/2005,5.66
7/21/2005,5.73
7/28/2005,5.77
8/4/2005,5.82
8/11/2005,5.89
8/18/2005,5.8
8/25/2005,5.77
9/1/2005,5.71
9/8/2005,5.71
9/15/2005,5.74
9/22/2005,5.8
9/29/2005,5.91
10/6/2005,5.98
10/13/2005,6.03
10/20/2005,6.1
10/27/2005,6.15
11/3/2005,6.31
11/10/2005,6.36
11/17/2005,6.37
11/23/2005,6.28
12/1/2005,6.26
12/8/2005,6.32
12/15/2005,6.3
